conflict_id,message,state,conflict_explanation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C001,UNKNOWN,UNKNOWN,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C002,UNKNOWN,UNKNOWN,"The non-access stratum (NAS) described in the present document forms the highest stratum of the control plane between UE and MME at the radio interface (reference point ""LTE-Uu""; see 3GPP S 23.401 [10]) Main functions of the protocols that are part of the NAS are the support of mobility of the user equipment (UE); and the support of session management procedures to establish and maintain IP connectivity between the UE and a packet data network gateway (PDN GW) NAS security is an additional function of the NAS providing services to the NAS protocols, e.g. integrity protection and ciphering of NAS signalling messages For the support of the above functions, the following procedures are supplied within this specification elementary procedures for EPS mobility management in clause 5; and elementary procedures for EPS session management in clause 6 Complete NAS transactions consist of specific sequences of elementary procedures. Examples of such specific sequences can be found in 3GPP S 23.401 [10] The NAS for EPS follows the protocol architecture model for layer 3 as described in 3GPP S 24.007 [12]; however, due to the objective of EPS to provide the subscriber with a ""ready-to-use"" IP connectivity and an ""always-on"" experience, the protocol supports a linkage between mobility management and session management procedures during the attach procedure (see clause 4.2) Signalling procedures for the control of NAS security are described as part of the EPS mobility management in clause 5. In addition to that, principles for the handing of EPS security contexts and for the activation of ciphering and integrity protection, when a NAS signalling connection is established, are provided in clause 4.4 .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C003,SERVICE REQUEST,EMM-REGISTERED,"During the EPS attach procedure, the network can activate a default EPS bearer context (i.e. if the UE requests PDN connectivity in the attach request). Additionally, the network can activate one or several dedicated EPS bearer contexts in parallel for PDN connections of IP or Ethernet PDN type. To this purpose the EPS session management messages for the default EPS bearer context activation can be transmitted in an information element in the EPS mobility management messages. In this case, the UE and the network execute the attach procedure, the default EPS bearer context activation procedure, and the dedicated EPS bearer context activation procedure in parallel. The UE and network shall complete the combined default EPS bearer context activation procedure and the attach procedure before the dedicated EPS bearer context activation procedure is completed. If EMM-REGISTERED without PDN connection is not supported by the UE or the MME, then the success of the attach procedure is dependent on the success of the default EPS bearer context activation procedure. If the attach procedure fails, then the ESM procedures also fail A UE using EPS services with control plane CIoT EPS optimization can initiate transport of user data via the control plane. For this purpose a UE in EMM-IDLE mode can initiate the service request procedure and transmit the ESM DATA TRANSPORT message in an information element in the CONTROL PLANE SERVICE REQUEST message Except for the attach procedure and the service request procedure, during EMM procedures the MME shall suspend the transmission of ESM messages. During the service request procedure the MME may suspend the transmission of ESM messages Except for the attach procedure and the service request procedure for UE initiated transport of user data via the control plane, during EMM procedures the UE shall suspend the transmission of ESM messages .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C004,SERVICE REQUEST,UNKNOWN,"A UE configured for NAS signalling low priority (see 3GPP S 24.368 [15A], 3GPP S 31.102 [17]) indicates this by including the Device properties IE in the appropriate NAS message and setting the low priority indicator to ""MS is configured for NAS signalling low priority"", except for the following cases in which the UE shall set the low priority indicator to ""MS is not configured for NAS signalling low priority"" the UE is performing an attach for emergency bearer services the UE has a PDN connection for emergency bearer services established and is performing EPS mobility management procedures, or is establishing a PDN connection for emergency bearer services the UE configured for dual priority is requested by the upper layers to establish a PDN connection with the low priority indicator set to ""MS is not configured for NAS signalling low priority"" the UE configured for dual priority is performing EPS session management procedures related to the PDN connection established with low priority indicator set to ""MS is not configured for NAS signalling low priority"" the UE configured for dual priority has a PDN connection established by setting the low priority indicator to ""MS is not configured for NAS signalling low priority"" and is performing EPS mobility management procedures the UE is performing a service request procedure for a CS fallback emergency call or 1xCS fallback emergency call the UE is a UE configured to use AC11 15 in selected PLMN; or the UE is responding to paging The network may use the NAS signalling low priority indication for NAS level mobility management congestion control and APN based congestion control If the NAS signalling low priority indication is provided in a PDN CONNECTIVITY REQUEST message, the MME stores the NAS signalling low priority indication within the default EPS bearer context activated due to the PDN connectivity request procedure .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C005,UNKNOWN,UNKNOWN,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C006,UNKNOWN,UNKNOWN,"A UE attached for EPS services shall operate in one of the following operation modes PS mode 1 of operation: the UE registers only to EPS services, and UE 's usage setting is ""voice centric"" PS mode 2 of operation: the UE registers only to EPS services, and UE 's usage setting is ""data centric"" CS/PS mode 1 of operation: the UE registers to both EPS and non-EPS services, and UE 's usage setting is ""voice centric""; and CS/PS mode 2 of operation: the UE registers to both EPS and non-EPS services, and UE 's usage setting is ""data centric"" A UE configured to use CS fallback, shall operate in CS/PS mode 1 or CS/PS mode 2. Such UE may also be configured to use IMS, in which case the voice domain preference for E-UTRAN as defined in 3GPP S 24.167 [13B] shall be used for the selection of the domain for originating voice communication services NOTE 1: The domain selected for originating voice communication services can be ignored by attempting a CS emergency call Upon request from upper layers to establish a CS emergency call if the UE needs to initiate a CS fallback emergency call but it is unable to perform CS fallback, the UE shall attempt to select GERAN or UTRAN radio access technology, and a UE with ""IMS voice not available"" should disable the E-UTRA capability (see clause 4.5) to allow a potential callback, and then progress the CS emergency call establishment if the UE needs to initiate a 1xCS fallback emergency call but it is unable to perform 1xCS fallback, the UE shall attempt to select cdma2000 xae 1x radio access technology to establish the call NOTE 2: Unable to perform CS fallback or 1xCS fallback means that either the UE was not allowed to attempt CS fallback or 1xCS fallback, or CS fallback or 1xCS fallback attempt failed A UE configured to use SMS over SGs shall operate in CS/PS mode 1 or CS/PS mode 2 The behaviour of the UE in CS/PS mode 1 of operation, upon failure to access the CS domain or upon reception of a ""CS fallback not preferred"" or ""SMS only"" indication, will depend on the availability of voice over IMS. In the present document, ""IMS voice not available"" refers to one of the following conditions a) the UE is not configured to use IMS b) the UE is not configured to use IMS voice, i.e. when the voice domain preference for E-UTRAN, as defined in 3GPP S 24.167 [13B], indicates that voice communication services are allowed to be invoked only over the CS domain c) the UE is configured to use IMS voice, but the network indicates in the ATTACH ACCEPT message or the TRACKING AREA UPDATE ACCEPT message that IMS voice over PS sessions are not supported; or d) the UE is configured to use IMS voice, the network indicates in the ATTACH ACCEPT message or the TRACKING AREA UPDATE ACCEPT message that IMS voice over PS sessions are supported, but the upper layers provide no indication that the UE is available for voice call in the IMS within a manufacturer determined period of time; or indicate that the UE is not available for voice calls in the IMS NOTE 3: If conditions a, b and c evaluate to false, the upper layers need time to attempt IMS registration. In the event an indication from the upper layers that the UE is available for voice calls in the IMS takes longer than the manufacturer determined period of time (e.g. due to delay when attempting IMS registration or due to delay obtaining an EPS bearer context for SIP signalling), the NAS layer assumes the UE is not available for voice calls in the IMS Other conditions may exist but these are implementation specific In the present document, ""IMS voice available"" refers to the conditions a, b, c and d, and other implementation specific conditions for ""IMS voice not available"" evaluate to false .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C007,UNKNOWN,UNKNOWN,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C008,UNKNOWN,UNKNOWN,"The UE mode of operation can change as a result of e.g a change of UE 's usage setting for a CS voice capable UE a change of voice domain preference for E-UTRAN as defined in 3GPP S 24.167 [13B] for a CS voice capable UE a change in the UE 's availability for voice calls in the IMS; or a change in UE configuration regarding the use of SMS as defined in 3GPP S 24.167 [13B] Figure 4.3.2.1.1 and figure 4.3.2.1.2 illustrate the transitions between different UE mode of operations when UE 's usage settings, voice domain preference for E-UTRAN or configuration regarding SMS changes NOTE 1: The UE may transit from CS/PS mode 1 to PS mode 1 or from CS/PS mode 2 to PS mode 2 if ""CS domain not available"" is received. After the transition to PS mode 1 or PS mode 2 due to ""CS domain not available"", the UE can transit back to CS/PS mode 1 or CS/PS mode 2, e.g. due to change of PLMN which is not in the list of the equivalent PLMNs NOTE 2: Not all possible transitions are shown in this figure Figure 4.3.2.1.1: Change of UE mode of operation for a CS voice capable UE NOTE: Not all possible transitions are shown in this figure Figure 4.3.2.1.2: Change of UE mode of operation for a UE with no CS voice capability .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C009,UNKNOWN,UNKNOWN,"Whenever the UE 's usage setting changes, the UE dependent on its mode of operation shall execute procedures according to table 4.3.2.2.1 and table 4.3.2.2.2 a) The UE is operating in PS mode 1 or PS mode 2 Table 4.3.2.2.1: Change of UE 's usage setting for a UE in PS mode 1 or PS mode 2 UE 's usage setting change From data centric to voice centric and ""IMS voice not available"" Disable the E-UTRA capability if voice domain selection results in a selection to a different RAT (see clause 4.5), or combined tracking area update with IMSI attach if voice domain selection results in attempt to stay in E-UTRAN From voice centric to data centric and E-UTRA is disabled Re-enable the E-UTRA capability (see clause 4.5) b) The UE is operating in CS/PS mode 1 or CS/PS mode 2 Table 4.3.2.2.2: Change of UE 's usage setting for a UE in CS/PS mode 1 or CS/PS mode 2 UE 's usage setting change From data centric to voice centric, ""CS fallback is not available"" and ""IMS voice not available"" (NOTE 1) Disable the E-UTRA capability (see clause 4.5) From data centric to voice centric, ""IMS voice not available"" and the UE received a ""CS fallback not preferred"" or ""SMS only"" indication during the last successful combined attach or combined tracking area updating procedure Disable the E-UTRA capability (see clause 4.5) From voice centric to data centric and E-UTRA is disabled Re-enable the E-UTRA capability (see clause 4.5) NOTE 1: ""CS fallback is not available"" includes EMM causes #16, #17, and #18 .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C010,UNKNOWN,UNKNOWN,"Whenever the voice domain preference for E-UTRAN changes, the UE dependent on its mode of operation shall execute procedures according to table 4.3.2.3.1 and table 4.3.2.3.2 a) The UE is operating in PS mode 1 or PS mode 2 Table 4.3.2.3.1: Change of voice domain preference for E-UTRAN for a UE in PS mode 1 or PS mode 2 Voice domain preference for E-UTRAN change From ""IMS PS voice only"" to ""CS voice only"" or ""CS voice preferred, IMS PS Voice as secondary"" Transit from PS mode 1 to CS/PS mode 1 or from PS mode 2 to CS/PS mode 2. Combined tracking area update with IMSI attach From ""IMS PS voice preferred, CS Voice as secondary"" to ""CS voice only"" or ""CS voice preferred, IMS PS Voice as secondary"" Transit from PS mode 1 to CS/PS mode 1 or from PS mode 2 to CS/PS mode 2. Combined tracking area update with IMSI attach b) The UE is operating in CS/PS mode 1 or CS/PS mode 2 Table 4.3.2.3.2: Change of voice domain preference for E-UTRAN for a UE in CS/PS mode 1 or CS/PS mode 2 Voice domain preference for E-UTRAN change From any configuration to ""IMS PS voice only"", UE is configured to prefer SMS over IP networks and the UE is available for voice calls in the IMS transit from CS/PS mode 1 to PS mode 1 or from CS/PS mode 2 to PS mode 2; and detach for non-EPS services From any configuration to ""CS voice only"", UE is in CS/PS mode 1 of operation and ""CS fallback is not available""(NOTE 1) Disable the E-UTRA capability (see clause 4.5) From any configuration to ""CS voice only"", UE is in CS/PS mode 1 of operation and the UE received a ""CS fallback not preferred"" or ""SMS only"" indication during the last successful combined attach or combined tracking area updating procedure Disable the E-UTRA capability (see clause 4.5) From ""CS voice only"" to any configuration and E-UTRA capability was disabled due to change of voice domain preference for E-UTRAN Re-enable the E-UTRA capability (see clause 4.5) If an RR or RRC connection exists, the UE shall delay re-enabling the E-UTRA capability until the RR or RRC connection is released NOTE 1: ""CS fallback is not available"" includes EMM causes #16, #17, and #18 .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
