cve_id,description,source,is_cellular_related,detailed_description
CVE-2016-11028,".orgChipsets.orgDevices Chipsets Vulnerabilities DeviceSamsung Galaxy M34 5GOverviewRelease Date (est.)Jul 2023ChipsetExynos 1280Last UpdateSep 2024Vulnerabilities0 of 0 updatedHide legacy vulnerabilitiesIdSeverityComponentAffectsReported onPublished by manufacturerPublished by AOSPPatchedPatch DateCVE-2016-11028TRUSTNoUnpatchedCVE-2019-20558OSNoUnpatchedCVE-2019-20572NoUnpatchedCVE-2019-20596TRUSTNoUnpatchedCVE-2020-10835CELLULARFIRMWARENoUnpatchedCVE-2020-25054CELLULARFIRMWARENoUnpatchedCVE-2021-22495GPUOSNoUnpatchedCVE-2022-23425CELLULARFIRMWARENoUnpatchedCVE-2022-23428NoUnpatchedCVE-2022-23431TRUSTNoUnpatched22 of 156 row(s) shown.Rows per pagePage 1 of 3Go to first pageGo to previous pageGo to next pageGo to last pageInformation reliabilityThe information on this website is intended to provide information on the big picture of chipset security and measure trends within the industry. Our information is obtained from several vantage points, checked for consistency, and automatically cross-referen",https://www.chipsets.org/devices/898,True,An issue was discovered on Samsung mobile devices with software through 2016-09-13 (Exynos AP chipsets). There is a stack-based buffer overflow in the OTP TrustZone trustlet. The Samsung IDs are SVE-2016-7173 and SVE-2016-7174 (December 2016).
CVE-2018-5383,"IOOSApr 3, 2024Nov 2024Nov 2024CVE-2024-38423HIGHGPUOSApr 25, 2024Nov 2024Nov 2024CVE-2024-33042HIGHN/AOSN/ASep 2024Sep 2024CVE-2024-33043MEDIUMN/AOSN/ASep 2024Sep 2024CVE-2024-33052HIGHN/AOSN/ASep 2024Sep 2024CVE-2024-23353HIGHCELLULARN/AN/AAug 2024N/ACVE-2023-43551CRITICALCELLULARN/AN/AJun 2024N/ACVE-2018-5383HIGHBLUETOOTHFIRMWAREJan 18, 2018Apr 2024Aug 2018CVE-2024-21468HIGHGPUOSSep 8, 2023Apr 2024Apr 2024667 of 667 row(s) shown.Rows per pagePage 1 of 67Go to first pageGo to previous pageGo to next pageGo to last pageDevicesNameCode nameManufacturerRelease DateAsus Zenwatch 3 WI503QAsus Zenwatch 3 WI503QASUSDec 1, 2016Oppo WatchOppo WatchOPPOMar 24, 2020ZTE QuartzZTE QuartzZTEApr 1, 2017Huawei Watch 2 2018Huawei Watch 2 2018HUAWEIMay 1, 2018Huawei Watch 2 ProHuawei Watch 2 ProHUAWEINov 1, 2017Huawei Watch 2 ClassicHuawei Watch 2 ClassicHUAWEIMay 1, 2017Huawei Watch 2Huawei Watch 2HUAWEIApr 1, 20177 of 7 row(s) shown.Rows per pagePage 1 of 1Go to first pageGo to previous pageGo to next pageGo to ",https://www.chipsets.org/chipsets/433,True,"Bluetooth firmware or operating system software drivers in macOS versions before 10.13, High Sierra and iOS versions before 11.4, and Android versions before the 2018-06-05 patch may not sufficiently validate elliptic curve parameters used to generate public keys during a Diffie-Hellman key exchange, which may allow a remote attacker to obtain the encryption key used by the device."
CVE-2019-20558,"ts Vulnerabilities DeviceSamsung Galaxy M34 5GOverviewRelease Date (est.)Jul 2023ChipsetExynos 1280Last UpdateSep 2024Vulnerabilities0 of 0 updatedHide legacy vulnerabilitiesIdSeverityComponentAffectsReported onPublished by manufacturerPublished by AOSPPatchedPatch DateCVE-2016-11028TRUSTNoUnpatchedCVE-2019-20558OSNoUnpatchedCVE-2019-20572NoUnpatchedCVE-2019-20596TRUSTNoUnpatchedCVE-2020-10835CELLULARFIRMWARENoUnpatchedCVE-2020-25054CELLULARFIRMWARENoUnpatchedCVE-2021-22495GPUOSNoUnpatchedCVE-2022-23425CELLULARFIRMWARENoUnpatchedCVE-2022-23428NoUnpatchedCVE-2022-23431TRUSTNoUnpatched22 of 156 row(s) shown.Rows per pagePage 1 of 3Go to first pageGo to previous pageGo to next pageGo to last pageInformation reliabilityThe information on this website is intended to provide information on the big picture of chipset security and measure trends within the industry. Our information is obtained from several vantage points, checked for consistency, and automatically cross-referenced. However, this process may",https://www.chipsets.org/devices/898,True,"An issue was discovered on Samsung mobile devices with N(7.x), O(8.x), and P(9.0) (Exynos chipsets) software. There is a Buffer Overflow in the Touch Screen Driver. The Samsung ID is SVE-2019-14990 (October 2019)."
CVE-2019-20572,"msung Galaxy M34 5GOverviewRelease Date (est.)Jul 2023ChipsetExynos 1280Last UpdateSep 2024Vulnerabilities0 of 0 updatedHide legacy vulnerabilitiesIdSeverityComponentAffectsReported onPublished by manufacturerPublished by AOSPPatchedPatch DateCVE-2016-11028TRUSTNoUnpatchedCVE-2019-20558OSNoUnpatchedCVE-2019-20572NoUnpatchedCVE-2019-20596TRUSTNoUnpatchedCVE-2020-10835CELLULARFIRMWARENoUnpatchedCVE-2020-25054CELLULARFIRMWARENoUnpatchedCVE-2021-22495GPUOSNoUnpatchedCVE-2022-23425CELLULARFIRMWARENoUnpatchedCVE-2022-23428NoUnpatchedCVE-2022-23431TRUSTNoUnpatched22 of 156 row(s) shown.Rows per pagePage 1 of 3Go to first pageGo to previous pageGo to next pageGo to last pageInformation reliabilityThe information on this website is intended to provide information on the big picture of chipset security and measure trends within the industry. Our information is obtained from several vantage points, checked for consistency, and automatically cross-referenced. However, this process may not always yield reliable ",https://www.chipsets.org/devices/898,True,An issue was discovered on Samsung mobile devices with O(8.1) and P(9.0) (Exynos chipsets) software. load_kernel has a buffer overflow via untrusted data. The Samsung ID is SVE-2019-14939 (September 2019).
CVE-2019-20596,"ewRelease Date (est.)Jul 2023ChipsetExynos 1280Last UpdateSep 2024Vulnerabilities0 of 0 updatedHide legacy vulnerabilitiesIdSeverityComponentAffectsReported onPublished by manufacturerPublished by AOSPPatchedPatch DateCVE-2016-11028TRUSTNoUnpatchedCVE-2019-20558OSNoUnpatchedCVE-2019-20572NoUnpatchedCVE-2019-20596TRUSTNoUnpatchedCVE-2020-10835CELLULARFIRMWARENoUnpatchedCVE-2020-25054CELLULARFIRMWARENoUnpatchedCVE-2021-22495GPUOSNoUnpatchedCVE-2022-23425CELLULARFIRMWARENoUnpatchedCVE-2022-23428NoUnpatchedCVE-2022-23431TRUSTNoUnpatched22 of 156 row(s) shown.Rows per pagePage 1 of 3Go to first pageGo to previous pageGo to next pageGo to last pageInformation reliabilityThe information on this website is intended to provide information on the big picture of chipset security and measure trends within the industry. Our information is obtained from several vantage points, checked for consistency, and automatically cross-referenced. However, this process may not always yield reliable information. Do not use t",https://www.chipsets.org/devices/898,True,An issue was discovered on Samsung mobile devices with N(7.x) and O(8.x) (Exynos chipsets) software. There is information disclosure in the GateKeeper Trustlet. The Samsung ID is SVE-2019-13958 (June 2019).
CVE-2020-10835,"hipsetExynos 1280Last UpdateSep 2024Vulnerabilities0 of 0 updatedHide legacy vulnerabilitiesIdSeverityComponentAffectsReported onPublished by manufacturerPublished by AOSPPatchedPatch DateCVE-2016-11028TRUSTNoUnpatchedCVE-2019-20558OSNoUnpatchedCVE-2019-20572NoUnpatchedCVE-2019-20596TRUSTNoUnpatchedCVE-2020-10835CELLULARFIRMWARENoUnpatchedCVE-2020-25054CELLULARFIRMWARENoUnpatchedCVE-2021-22495GPUOSNoUnpatchedCVE-2022-23425CELLULARFIRMWARENoUnpatchedCVE-2022-23428NoUnpatchedCVE-2022-23431TRUSTNoUnpatched22 of 156 row(s) shown.Rows per pagePage 1 of 3Go to first pageGo to previous pageGo to next pageGo to last pageInformation reliabilityThe information on this website is intended to provide information on the big picture of chipset security and measure trends within the industry. Our information is obtained from several vantage points, checked for consistency, and automatically cross-referenced. However, this process may not always yield reliable information. Do not use the information on a particular",https://www.chipsets.org/devices/898,True,An issue was discovered on Samsung mobile devices with any (before February 2020 for Exynos modem chipsets) software. There is a buffer overflow in baseband CP message decoding. The Samsung IDs are SVE-2019-15816 and SVE-2019-15817 (February 2020).
CVE-2020-25054,"rabilities0 of 0 updatedHide legacy vulnerabilitiesIdSeverityComponentAffectsReported onPublished by manufacturerPublished by AOSPPatchedPatch DateCVE-2016-11028TRUSTNoUnpatchedCVE-2019-20558OSNoUnpatchedCVE-2019-20572NoUnpatchedCVE-2019-20596TRUSTNoUnpatchedCVE-2020-10835CELLULARFIRMWARENoUnpatchedCVE-2020-25054CELLULARFIRMWARENoUnpatchedCVE-2021-22495GPUOSNoUnpatchedCVE-2022-23425CELLULARFIRMWARENoUnpatchedCVE-2022-23428NoUnpatchedCVE-2022-23431TRUSTNoUnpatched22 of 156 row(s) shown.Rows per pagePage 1 of 3Go to first pageGo to previous pageGo to next pageGo to last pageInformation reliabilityThe information on this website is intended to provide information on the big picture of chipset security and measure trends within the industry. Our information is obtained from several vantage points, checked for consistency, and automatically cross-referenced. However, this process may not always yield reliable information. Do not use the information on a particular vulnerability, chipset or device to veri",https://www.chipsets.org/devices/898,True,An issue was discovered on Samsung mobile devices with software through 2020-04-02 (Exynos modem chipsets). There is a heap-based buffer over-read in the Shannon baseband. The Samsung ID is SVE-2020-17239 (August 2020).
CVE-2021-0619,Chipsets.orgDevice info | Chipsets.orgChipsets.orgDevices Chipsets Vulnerabilities Devicealcatel 1 (2021)OverviewRelease Date (est.)Oct 2021ChipsetMT6739VulnerabilitiesHide legacy vulnerabilitiesIdSeverityComponentAffectsReported onPublished by manufacturerPublished by AOSPCVE-2021-0619MEDIUMN/AN/AN/ANov 2021N/ACVE-2021-0620MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0621MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0622MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0623MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0624MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0672HIGHN/AOSN/ANov 2021Nov 2021CVE-2021-0674MEDIUMN/AN/AN/ADec 2021N/ACVE-2021-0675HIGHN/AN/AN/ADec 2021Dec 2021CVE-2021-25477HIGHCELLULARFIRMWAREN/AApr 2022Apr 2022265 of 307 row(s) shown.Rows per pagePage 1 of 27Go to first pageGo to previous pageGo to next pageGo to last pageInformation reliabilityThe information on this website is intended to provide information on the big picture of chipset security and measure trends within the industry. Our information is ob,https://www.chipsets.org/devices/11,True,"In ape extractor, there is a possible out of bounds read due to a missing bounds check. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05561395; Issue ID: ALPS05561395."
CVE-2021-0620,"evice info | Chipsets.orgChipsets.orgDevices Chipsets Vulnerabilities Devicealcatel 1 (2021)OverviewRelease Date (est.)Oct 2021ChipsetMT6739VulnerabilitiesHide legacy vulnerabilitiesIdSeverityComponentAffectsReported onPublished by manufacturerPublished by AOSPCVE-2021-0619MEDIUMN/AN/AN/ANov 2021N/ACVE-2021-0620MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0621MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0622MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0623MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0624MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0672HIGHN/AOSN/ANov 2021Nov 2021CVE-2021-0674MEDIUMN/AN/AN/ADec 2021N/ACVE-2021-0675HIGHN/AN/AN/ADec 2021Dec 2021CVE-2021-25477HIGHCELLULARFIRMWAREN/AApr 2022Apr 2022265 of 307 row(s) shown.Rows per pagePage 1 of 27Go to first pageGo to previous pageGo to next pageGo to last pageInformation reliabilityThe information on this website is intended to provide information on the big picture of chipset security and measure trends within the industry. Our information is obtained from several vantage points, che",https://www.chipsets.org/devices/11,True,"In asf extractor, there is a possible out of bounds read due to a heap buffer overflow. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05489178; Issue ID: ALPS05561381."
CVE-2021-0621,"vices Chipsets Vulnerabilities Devicealcatel 1 (2021)OverviewRelease Date (est.)Oct 2021ChipsetMT6739VulnerabilitiesHide legacy vulnerabilitiesIdSeverityComponentAffectsReported onPublished by manufacturerPublished by AOSPCVE-2021-0619MEDIUMN/AN/AN/ANov 2021N/ACVE-2021-0620MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0621MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0622MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0623MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0624MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0672HIGHN/AOSN/ANov 2021Nov 2021CVE-2021-0674MEDIUMN/AN/AN/ADec 2021N/ACVE-2021-0675HIGHN/AN/AN/ADec 2021Dec 2021CVE-2021-25477HIGHCELLULARFIRMWAREN/AApr 2022Apr 2022265 of 307 row(s) shown.Rows per pagePage 1 of 27Go to first pageGo to previous pageGo to next pageGo to last pageInformation reliabilityThe information on this website is intended to provide information on the big picture of chipset security and measure trends within the industry. Our information is obtained from several vantage points, checked for consistency, and automatically",https://www.chipsets.org/devices/11,True,"In asf extractor, there is a possible out of bounds read due to an integer overflow. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05489178; Issue ID: ALPS05561383."
