cve_id,description,source,is_cellular_related,detailed_description,predicted_user_symptoms
CVE-2016-11028,".orgChipsets.orgDevices Chipsets Vulnerabilities DeviceSamsung Galaxy M34 5GOverviewRelease Date (est.)Jul 2023ChipsetExynos 1280Last UpdateSep 2024Vulnerabilities0 of 0 updatedHide legacy vulnerabilitiesIdSeverityComponentAffectsReported onPublished by manufacturerPublished by AOSPPatchedPatch DateCVE-2016-11028TRUSTNoUnpatchedCVE-2019-20558OSNoUnpatchedCVE-2019-20572NoUnpatchedCVE-2019-20596TRUSTNoUnpatchedCVE-2020-10835CELLULARFIRMWARENoUnpatchedCVE-2020-25054CELLULARFIRMWARENoUnpatchedCVE-2021-22495GPUOSNoUnpatchedCVE-2022-23425CELLULARFIRMWARENoUnpatchedCVE-2022-23428NoUnpatchedCVE-2022-23431TRUSTNoUnpatched22 of 156 row(s) shown.Rows per pagePage 1 of 3Go to first pageGo to previous pageGo to next pageGo to last pageInformation reliabilityThe information on this website is intended to provide information on the big picture of chipset security and measure trends within the industry. Our information is obtained from several vantage points, checked for consistency, and automatically cross-referen",https://www.chipsets.org/devices/898,True,An issue was discovered on Samsung mobile devices with software through 2016-09-13 (Exynos AP chipsets). There is a stack-based buffer overflow in the OTP TrustZone trustlet. The Samsung IDs are SVE-2016-7173 and SVE-2016-7174 (December 2016).,"### **Predicted User-Experienced Symptoms:**

#### **Mild:**
- Users may notice minor delays when opening security-related applications or features, such as fingerprint authentication or secure folder access.
- Occasional slowdowns in device performance when accessing apps that rely on secure processing.

#### **Moderate:**
- Users might experience intermittent connectivity issues with"
CVE-2018-5383,"IOOSApr 3, 2024Nov 2024Nov 2024CVE-2024-38423HIGHGPUOSApr 25, 2024Nov 2024Nov 2024CVE-2024-33042HIGHN/AOSN/ASep 2024Sep 2024CVE-2024-33043MEDIUMN/AOSN/ASep 2024Sep 2024CVE-2024-33052HIGHN/AOSN/ASep 2024Sep 2024CVE-2024-23353HIGHCELLULARN/AN/AAug 2024N/ACVE-2023-43551CRITICALCELLULARN/AN/AJun 2024N/ACVE-2018-5383HIGHBLUETOOTHFIRMWAREJan 18, 2018Apr 2024Aug 2018CVE-2024-21468HIGHGPUOSSep 8, 2023Apr 2024Apr 2024667 of 667 row(s) shown.Rows per pagePage 1 of 67Go to first pageGo to previous pageGo to next pageGo to last pageDevicesNameCode nameManufacturerRelease DateAsus Zenwatch 3 WI503QAsus Zenwatch 3 WI503QASUSDec 1, 2016Oppo WatchOppo WatchOPPOMar 24, 2020ZTE QuartzZTE QuartzZTEApr 1, 2017Huawei Watch 2 2018Huawei Watch 2 2018HUAWEIMay 1, 2018Huawei Watch 2 ProHuawei Watch 2 ProHUAWEINov 1, 2017Huawei Watch 2 ClassicHuawei Watch 2 ClassicHUAWEIMay 1, 2017Huawei Watch 2Huawei Watch 2HUAWEIApr 1, 20177 of 7 row(s) shown.Rows per pagePage 1 of 1Go to first pageGo to previous pageGo to next pageGo to ",https://www.chipsets.org/chipsets/433,True,"Bluetooth firmware or operating system software drivers in macOS versions before 10.13, High Sierra and iOS versions before 11.4, and Android versions before the 2018-06-05 patch may not sufficiently validate elliptic curve parameters used to generate public keys during a Diffie-Hellman key exchange, which may allow a remote attacker to obtain the encryption key used by the device.","### **Predicted User-Experienced Symptoms:**

#### **Mild:**
- Users may notice slightly slower Bluetooth pairing times with certain devices.
- Occasional minor delays in Bluetooth audio playback synchronization.

#### **Moderate:**
- Bluetooth connections may drop unexpectedly during audio streaming or file transfers, requiring users to reconnect manually.
- Users might experience intermittent"
CVE-2019-20558,"ts Vulnerabilities DeviceSamsung Galaxy M34 5GOverviewRelease Date (est.)Jul 2023ChipsetExynos 1280Last UpdateSep 2024Vulnerabilities0 of 0 updatedHide legacy vulnerabilitiesIdSeverityComponentAffectsReported onPublished by manufacturerPublished by AOSPPatchedPatch DateCVE-2016-11028TRUSTNoUnpatchedCVE-2019-20558OSNoUnpatchedCVE-2019-20572NoUnpatchedCVE-2019-20596TRUSTNoUnpatchedCVE-2020-10835CELLULARFIRMWARENoUnpatchedCVE-2020-25054CELLULARFIRMWARENoUnpatchedCVE-2021-22495GPUOSNoUnpatchedCVE-2022-23425CELLULARFIRMWARENoUnpatchedCVE-2022-23428NoUnpatchedCVE-2022-23431TRUSTNoUnpatched22 of 156 row(s) shown.Rows per pagePage 1 of 3Go to first pageGo to previous pageGo to next pageGo to last pageInformation reliabilityThe information on this website is intended to provide information on the big picture of chipset security and measure trends within the industry. Our information is obtained from several vantage points, checked for consistency, and automatically cross-referenced. However, this process may",https://www.chipsets.org/devices/898,True,"An issue was discovered on Samsung mobile devices with N(7.x), O(8.x), and P(9.0) (Exynos chipsets) software. There is a Buffer Overflow in the Touch Screen Driver. The Samsung ID is SVE-2019-14990 (October 2019).","### **Predicted User-Experienced Symptoms:**

#### **Mild:**
- **Touchscreen Responsiveness Issues:** Users may notice slight delays or lag when interacting with the touchscreen, such as when scrolling or typing.
- **Minor Graphical Glitches:** Occasional flickering or artifacts might appear on the screen, particularly during rapid touch interactions.

"
CVE-2019-20572,"msung Galaxy M34 5GOverviewRelease Date (est.)Jul 2023ChipsetExynos 1280Last UpdateSep 2024Vulnerabilities0 of 0 updatedHide legacy vulnerabilitiesIdSeverityComponentAffectsReported onPublished by manufacturerPublished by AOSPPatchedPatch DateCVE-2016-11028TRUSTNoUnpatchedCVE-2019-20558OSNoUnpatchedCVE-2019-20572NoUnpatchedCVE-2019-20596TRUSTNoUnpatchedCVE-2020-10835CELLULARFIRMWARENoUnpatchedCVE-2020-25054CELLULARFIRMWARENoUnpatchedCVE-2021-22495GPUOSNoUnpatchedCVE-2022-23425CELLULARFIRMWARENoUnpatchedCVE-2022-23428NoUnpatchedCVE-2022-23431TRUSTNoUnpatched22 of 156 row(s) shown.Rows per pagePage 1 of 3Go to first pageGo to previous pageGo to next pageGo to last pageInformation reliabilityThe information on this website is intended to provide information on the big picture of chipset security and measure trends within the industry. Our information is obtained from several vantage points, checked for consistency, and automatically cross-referenced. However, this process may not always yield reliable ",https://www.chipsets.org/devices/898,True,An issue was discovered on Samsung mobile devices with O(8.1) and P(9.0) (Exynos chipsets) software. load_kernel has a buffer overflow via untrusted data. The Samsung ID is SVE-2019-14939 (September 2019).,"### **Predicted User-Experienced Symptoms:**

#### **Mild:**
- Users may notice occasional slowdowns in app performance, particularly when multiple apps are running simultaneously.
- Slight delays in receiving notifications or messages, especially when the device is under heavy usage.

#### **Moderate:**
- Users might experience unexpected app crashes, particularly apps that"
CVE-2019-20596,"ewRelease Date (est.)Jul 2023ChipsetExynos 1280Last UpdateSep 2024Vulnerabilities0 of 0 updatedHide legacy vulnerabilitiesIdSeverityComponentAffectsReported onPublished by manufacturerPublished by AOSPPatchedPatch DateCVE-2016-11028TRUSTNoUnpatchedCVE-2019-20558OSNoUnpatchedCVE-2019-20572NoUnpatchedCVE-2019-20596TRUSTNoUnpatchedCVE-2020-10835CELLULARFIRMWARENoUnpatchedCVE-2020-25054CELLULARFIRMWARENoUnpatchedCVE-2021-22495GPUOSNoUnpatchedCVE-2022-23425CELLULARFIRMWARENoUnpatchedCVE-2022-23428NoUnpatchedCVE-2022-23431TRUSTNoUnpatched22 of 156 row(s) shown.Rows per pagePage 1 of 3Go to first pageGo to previous pageGo to next pageGo to last pageInformation reliabilityThe information on this website is intended to provide information on the big picture of chipset security and measure trends within the industry. Our information is obtained from several vantage points, checked for consistency, and automatically cross-referenced. However, this process may not always yield reliable information. Do not use t",https://www.chipsets.org/devices/898,True,An issue was discovered on Samsung mobile devices with N(7.x) and O(8.x) (Exynos chipsets) software. There is information disclosure in the GateKeeper Trustlet. The Samsung ID is SVE-2019-13958 (June 2019).,"### **Predicted User-Experienced Symptoms:**

#### **Mild:**
- Users may notice unusual battery drain as background processes attempt to access sensitive information.
- Slightly slower device performance when unlocking the phone or using fingerprint authentication due to increased background security checks.

#### **Moderate:**
- Users experience intermittent issues with biometric authentication (e.g"
CVE-2020-10835,"hipsetExynos 1280Last UpdateSep 2024Vulnerabilities0 of 0 updatedHide legacy vulnerabilitiesIdSeverityComponentAffectsReported onPublished by manufacturerPublished by AOSPPatchedPatch DateCVE-2016-11028TRUSTNoUnpatchedCVE-2019-20558OSNoUnpatchedCVE-2019-20572NoUnpatchedCVE-2019-20596TRUSTNoUnpatchedCVE-2020-10835CELLULARFIRMWARENoUnpatchedCVE-2020-25054CELLULARFIRMWARENoUnpatchedCVE-2021-22495GPUOSNoUnpatchedCVE-2022-23425CELLULARFIRMWARENoUnpatchedCVE-2022-23428NoUnpatchedCVE-2022-23431TRUSTNoUnpatched22 of 156 row(s) shown.Rows per pagePage 1 of 3Go to first pageGo to previous pageGo to next pageGo to last pageInformation reliabilityThe information on this website is intended to provide information on the big picture of chipset security and measure trends within the industry. Our information is obtained from several vantage points, checked for consistency, and automatically cross-referenced. However, this process may not always yield reliable information. Do not use the information on a particular",https://www.chipsets.org/devices/898,True,An issue was discovered on Samsung mobile devices with any (before February 2020 for Exynos modem chipsets) software. There is a buffer overflow in baseband CP message decoding. The Samsung IDs are SVE-2019-15816 and SVE-2019-15817 (February 2020).,"### **Predicted User-Experienced Symptoms:**

#### **Mild:**
- Users may experience occasional delays in sending or receiving SMS messages.
- Slightly slower data speeds during peak usage times, particularly when switching between apps that use cellular data.

#### **Moderate:**
- Intermittent call drops, especially during long calls or when switching"
CVE-2020-25054,"rabilities0 of 0 updatedHide legacy vulnerabilitiesIdSeverityComponentAffectsReported onPublished by manufacturerPublished by AOSPPatchedPatch DateCVE-2016-11028TRUSTNoUnpatchedCVE-2019-20558OSNoUnpatchedCVE-2019-20572NoUnpatchedCVE-2019-20596TRUSTNoUnpatchedCVE-2020-10835CELLULARFIRMWARENoUnpatchedCVE-2020-25054CELLULARFIRMWARENoUnpatchedCVE-2021-22495GPUOSNoUnpatchedCVE-2022-23425CELLULARFIRMWARENoUnpatchedCVE-2022-23428NoUnpatchedCVE-2022-23431TRUSTNoUnpatched22 of 156 row(s) shown.Rows per pagePage 1 of 3Go to first pageGo to previous pageGo to next pageGo to last pageInformation reliabilityThe information on this website is intended to provide information on the big picture of chipset security and measure trends within the industry. Our information is obtained from several vantage points, checked for consistency, and automatically cross-referenced. However, this process may not always yield reliable information. Do not use the information on a particular vulnerability, chipset or device to veri",https://www.chipsets.org/devices/898,True,An issue was discovered on Samsung mobile devices with software through 2020-04-02 (Exynos modem chipsets). There is a heap-based buffer over-read in the Shannon baseband. The Samsung ID is SVE-2020-17239 (August 2020).,"### **CVE Information:**
- **CVE ID**: CVE-2020-25054
- **CVE Description**: An issue was discovered on Samsung mobile devices with software through 2020-04-02 (Exynos modem chipsets). There is a heap-based buffer over-read in the Shannon baseband. The"
CVE-2021-0619,Chipsets.orgDevice info | Chipsets.orgChipsets.orgDevices Chipsets Vulnerabilities Devicealcatel 1 (2021)OverviewRelease Date (est.)Oct 2021ChipsetMT6739VulnerabilitiesHide legacy vulnerabilitiesIdSeverityComponentAffectsReported onPublished by manufacturerPublished by AOSPCVE-2021-0619MEDIUMN/AN/AN/ANov 2021N/ACVE-2021-0620MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0621MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0622MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0623MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0624MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0672HIGHN/AOSN/ANov 2021Nov 2021CVE-2021-0674MEDIUMN/AN/AN/ADec 2021N/ACVE-2021-0675HIGHN/AN/AN/ADec 2021Dec 2021CVE-2021-25477HIGHCELLULARFIRMWAREN/AApr 2022Apr 2022265 of 307 row(s) shown.Rows per pagePage 1 of 27Go to first pageGo to previous pageGo to next pageGo to last pageInformation reliabilityThe information on this website is intended to provide information on the big picture of chipset security and measure trends within the industry. Our information is ob,https://www.chipsets.org/devices/11,True,"In ape extractor, there is a possible out of bounds read due to a missing bounds check. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05561395; Issue ID: ALPS05561395.","### **Predicted User-Experienced Symptoms:**

#### **Mild:**
- **Unexpected App Behavior:** Users might notice certain media files, especially audio files, not playing correctly or causing apps to behave unexpectedly.
- **Minor UI Glitches:** Occasional UI glitches or slowdowns when accessing media files on the device.

#### **Moderate:"
CVE-2021-0620,"evice info | Chipsets.orgChipsets.orgDevices Chipsets Vulnerabilities Devicealcatel 1 (2021)OverviewRelease Date (est.)Oct 2021ChipsetMT6739VulnerabilitiesHide legacy vulnerabilitiesIdSeverityComponentAffectsReported onPublished by manufacturerPublished by AOSPCVE-2021-0619MEDIUMN/AN/AN/ANov 2021N/ACVE-2021-0620MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0621MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0622MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0623MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0624MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0672HIGHN/AOSN/ANov 2021Nov 2021CVE-2021-0674MEDIUMN/AN/AN/ADec 2021N/ACVE-2021-0675HIGHN/AN/AN/ADec 2021Dec 2021CVE-2021-25477HIGHCELLULARFIRMWAREN/AApr 2022Apr 2022265 of 307 row(s) shown.Rows per pagePage 1 of 27Go to first pageGo to previous pageGo to next pageGo to last pageInformation reliabilityThe information on this website is intended to provide information on the big picture of chipset security and measure trends within the industry. Our information is obtained from several vantage points, che",https://www.chipsets.org/devices/11,True,"In asf extractor, there is a possible out of bounds read due to a heap buffer overflow. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05489178; Issue ID: ALPS05561381.","### **Predicted User-Experienced Symptoms:**

#### **Mild:**
- Users may notice minor glitches or delays when playing certain media files, particularly those in ASF format.
- Occasional stuttering or brief pauses in video playback on some streaming apps.

#### **Moderate:**
- Some media applications might crash unexpectedly when attempting to open or"
CVE-2021-0621,"vices Chipsets Vulnerabilities Devicealcatel 1 (2021)OverviewRelease Date (est.)Oct 2021ChipsetMT6739VulnerabilitiesHide legacy vulnerabilitiesIdSeverityComponentAffectsReported onPublished by manufacturerPublished by AOSPCVE-2021-0619MEDIUMN/AN/AN/ANov 2021N/ACVE-2021-0620MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0621MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0622MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0623MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0624MEDIUMGPUN/AN/ANov 2021N/ACVE-2021-0672HIGHN/AOSN/ANov 2021Nov 2021CVE-2021-0674MEDIUMN/AN/AN/ADec 2021N/ACVE-2021-0675HIGHN/AN/AN/ADec 2021Dec 2021CVE-2021-25477HIGHCELLULARFIRMWAREN/AApr 2022Apr 2022265 of 307 row(s) shown.Rows per pagePage 1 of 27Go to first pageGo to previous pageGo to next pageGo to last pageInformation reliabilityThe information on this website is intended to provide information on the big picture of chipset security and measure trends within the industry. Our information is obtained from several vantage points, checked for consistency, and automatically",https://www.chipsets.org/devices/11,True,"In asf extractor, there is a possible out of bounds read due to an integer overflow. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05489178; Issue ID: ALPS05561383.","### **Predicted User-Experienced Symptoms:**

#### **Mild:**
- Users may notice minor glitches or artifacts when playing certain media files, especially those using the ASF format.
- Occasional slowdowns or brief freezes when accessing media libraries or streaming content.

#### **Moderate:**
- Some media files may fail to play or cause the"
